,star_names,distance,mass,radius,luminosity,solar_mass,solar_radius,apparent_magintude
0,Sun,0.000015813,1,1,1,0.000954588,0.102763,0.000−26.74
1,Sirius,0008.6,25.4,1.71´,25.4,0.0242465352,0.0,0.001−1.46
2,Canopus,0310,"13,500",71,"13,500",0.0,7.296173,0.003−0.74
3,Alpha Centauri,0004.4,2,1.2,2,0.001909176,0.12331559999999998,0.004−0.27
4,Arcturus,0037,170,26,170,0.16227996,2.6718379999999997,0.005−0.05
5,Vega,0025,50,2.7,50,0.0477294,0.2774601,0.03
6,Capella,0043,150,12,150,0.14318820000000002,1.233156,0.08
7,Rigel,0860,"120,000",78.9,"120,000",0.0,8.1080007,0.13
8,Procyon,0011.4,7.7,1.9,7.7,0.0073503276000000005,0.19524969999999997,0.34
9,Betelgeuse,0640[1],"60,000",950,"60,000",0.0,97.62485, 0.45
10,Achernar,0144,"3,000",9.3,"3,000",0.0,0.9556959,0.46
11,Hadar,0390,"42,000",8.6,"42,000",0.0,0.8837617999999999,0.61
12,Altair,0017,10.5,1.8,10.5,0.010023174000000001,0.18497339999999998,0.76
13,Acrux,0320,"25,000",8.9,"25,000",0.0,0.9145907,0.76
14,Aldebaran,0065,520,44,520,0.49638576,4.521572,0.86
15,Antares,0600,"75,000",680,"75,000",0.0,69.87884,0.96
16,Spica,0260,"20,512",7.47,"20,512",0.0,0.7676396099999999,0.97
17,Pollux,0034,43,8.8,43,0.041047284,0.9043144,1.14
18,Fomalhaut,0025,16.6,1.8,16.6,0.015846160800000002,0.18497339999999998,1.16
19,Deneb,"2,600","200,000",203,"200,000",0.0,20.860889,1.25
20,Mimosa,0350,"34,000",8.4,"34,000",0.0,0.8632092,1.25
21,Regulus,0077,290,3.1,290,0.27683052,0.3185653,1.39
22,Adhara,0430,"39,000",14,"39,000",0.0,1.438682,1.50
23,Shaula,0700,"36,000",8.8,"36,000",0.0,0.9043144,1.62
24,Castor,0052,30,2.4,30,0.028637640000000002,0.24663119999999997,1.62
25,Gacrux,0088,820,84,820,0.78276216,8.632092,1.64
26,Bellatrix,0240,"9,200",5.8,"9,200",0.0,0.5960253999999999,1.64
27,Elnath,0130,700,4.2,700,0.6682116,0.4316046,1.65
28,Miaplacidus,0110,290,6.8,290,0.27683052,0.6987884,1.69
29,Alnilam,"2,000","380,000",42,"380,000",0.0,4.316046,1.69
30,Gamma Velorum,"01,100","170,000",6,"170,000",0.0,0.616578,1.72
31,Alnair,0101,260,3.4,260,0.24819288,0.3493942,1.74
32,Alioth,0081,110,4.2,110,0.10500468,0.4316046,1.77
33,Alnitak,01050,"120,000",20,"120,000",0.0,2.0552599999999996,1.77
34,Dubhe,0120,300,30,300,0.28637640000000003,3.08289,1.79
35,Mirfak,0590,"5,000",68,"5,000",0.0,6.987883999999999,1.80
36,Wezen,"1,600","82,000",200,"82,000",0.0,20.552599999999998,1.82
37,Sargas,0270,"1,800",26,"1,800",0.0,2.6718379999999997,1.84
38,Kaus Australis,0140,360,6.8,360,0.34365168,0.6987884,1.85
39,Avior,0630,"60,000",130,"60,000",0.0,13.35919,1.86
40,Alkaid,0104,"1,350",3.4,"1,350",0.0,0.3493942,1.86
41,Menkalinan,081,50,2.77,50,0.0477294,0.28465351,1.90
42,Atria,0390,"5,500",92,"5,500",0.0,9.454196,1.91
43,Alhena,0109,120,3.3,120,0.11455056000000001,0.33911789999999997,1.92
44,Peacock,0180,"2,200",4.8,"2,200",0.0,0.49326239999999993,1.94
45,Alsephina[2],0080,90,2.9,90,0.08591292,0.29801269999999996,1.96
46,Mirzam,0500,"27,000",10,"27,000",0.0,1.0276299999999998,1.98
47,Polaris,0430,"2,500",39,"2,500",0.0,4.007757,1.98
48,Alphard,0180,780,50,780,0.7445786400000001,5.1381499999999996,2.00
49,Scheat,0196,"1,500",95,"1,500",0.0,9.762485,2.42
50,Almaaz,0653,"43,000",140,"43,000",0.0,14.386819999999998,2.98
51,Rasalgethi,0360,"8,300",280,"8,300",0.0,28.773639999999997,3.35
52,Tau Ceti,011.9,0.52,0.893,0.52,0.00049638576,0.09176735899999999,3.50
53,Delta Pavonis,019.92,1.22,1.22,1.22,0.00116459736,0.12537086,3.56
54,Ran,010.48,0.34,0.74,0.34,0.00032455992000000004,0.07604462,3.74
55,V382 Carinae,"08,900","212,000",485,"212,000",0.0,49.840055,3.83
56,Eta Carinae,"07,500","5,000,000",60–881,"5,000,000",0.0,0.0,4
57,Delta Cephei,0887,"2,000",44.5,"2,000",0.0,4.5729535,4.07
58,Mu Cephei,"06,000","135,000",972,"135,000",0.0,99.88563599999999,4.08
59,Titawin,044.25,3.57,1.48,3.57,0.0034078791599999997,0.15208924,4.09
60,Rho Cassiopeiae,"08,154","347,000 - 530,000",636-981,"347,000 - 530,000",0.0,0.0,4.1
61,P Cygni,"05,545","610,000",76,"610,000",0.0,7.809988,4.82
62,La Superba,"01,000","2,472 - 5,800",129 - 342,"2,472 - 5,800",0.0,0.0,4.86
63,VV Cephei,"04,900","200,000","516 - 1,050","200,000",0.0,0.0,4.91
64,61 Cygni,011.41,0.153,0.665,0.153,0.000146051964,0.068337395,5.20
65,R Doradus,0178,"4,350",298,"4,350",0.0,30.623374,5.4
66,Polaris Australis,0281,38,3.74,38,0.036274344,0.38433362,5.47
67,R Coronae Borealis,"04,566","10,000",85,"10,000",0.0,8.734855,5.71
68,54 Piscium,036.1,0.52,0.94,0.52,0.00049638576,0.09659721999999998,5.88
69,Mira,0300,"9,000",370,"9,000",0.0,38.02231,6.57
70,RW Cephei,"014,000","417,000","1,158","417,000",0.0,0.0,6.65
71,Lacaille 8760,012.87,0.072,0.51,0.072,6.8730336e-05,0.05240913,6.67
72,V838 Monocerotis,"019,896","15,000",380 - 750,"15,000",0.0,0.0,6.75
73,HD 140283,0190,3.83,1.4,3.83,0.00365607204,0.14386819999999997,7.25
74,II Pegasi,0130,1.06,3.4,1.06,0.0010118632800000002,0.3493942,7.4
75,VY Canis Majoris,"03,900","178,000 - 270,000","1,420","178,000 - 270,000",0.0,0.0,8.05
76,Pistol Star,"025,000","1,700,000",320,"1,700,000",0.0,32.884159999999994,8.3
77,S Doradus,"0169,000","910,000",380,"910,000",0.0,39.04994,8.6
78,UY Scuti,"05,100","86,300 - 87,100",755,"86,300 - 87,100",0.0,77.58606499999999,8.9
79,Barnard's Star,05.98,0.0035,0.20,0.0035,3.341058e-06,0.0205526,9.5
80,Luhman 16,06.52,?,?,?,0.0,0.0,10.7
81,Proxima Centauri,04.25,0.0017,0.15,0.0017,1.6227996e-06,0.015414449999999998,11.13
82,KIC 8462852,"01,470",4.68,1.58,4.68,0.00446747184,0.16236554,11.71
83,R136a1,"0163,000","8,710,000",32,"8,710,000",0.0,3.288416,12.23
84,Melnick 42,"0163,000","3,600,000",21.1,"3,600,000",0.0,2.1682993,12.78
85,WR 102,"018,134","282,000",0.39,"282,000",0.0,0.04007757,14.10
86,VFTS 352,"0164,000","330,000",14.47,"330,000",0.0,1.48698061,14.38
87,YBP 1194,"02,772",0.98,0.99,0.98,0.00093549624,0.10173536999999999,14.68
88,Gliese 1214,047.5,0.0033,0.21,0.0033,3.1501404e-06,0.02158023,14.71
89,NML Cygni,"05,251","229,000","1,640 - 2,770","229,000",0.0,0.0,16.6
90,VB 10,018.72,0.0004,0.10,0.0004,3.8183520000000004e-07,0.0102763,17.30
91,WOH G64,"0163,000","340-589,000","1,540 - 1,730","340-589,000",0.0,0.0,18.46
92,TRAPPIST-1,039.6,0.0005,0.12,0.0005,4.77294e-07,0.012331559999999998,18.80
93,2MASS J0523-1403,040.3,0.00013,0.086,0.00013,1.2409643999999998e-07,0.008837617999999998,21.05
94,WISE 0855−0714,07.27,?,?,?,0.0,0.0,25
95,Icarus,"014,400,000,000","850,000",?,"850,000",0.0,0.0,28.4
